"Site Crawled","https://www.splashtop.com/"
"Date","2024-10-12"
"Time","20:01:13"
""
"Summary","URLs","% of Total","Total URLs","Total URLs Description"
"Canonical Is Relative","0","0.00%","181","Internal HTML or PDF pages with 2xx response"
"Unlinked","0","0.00%","181","Internal HTML or PDF pages with 2xx response"
"Outside <head>","0","0.00%","181","Internal HTML or PDF pages with 2xx response"
""
"Pagination"
"All","181","100.00%","181","Internal HTML pages with 2xx response"
"Contains Pagination","0","0.00%","181","Internal HTML pages with 2xx response"
"First Page","0","0.00%","181","Internal HTML pages with 2xx response"
"Paginated 2+ Pages","0","0.00%","181","Internal HTML pages with 2xx response"
"Pagination URL Not in Anchor Tag","0","0.00%","181","Internal HTML pages with 2xx response"
"Non-200 Pagination URLs","0","0.00%","181","Internal HTML pages with 2xx response"
"Unlinked Pagination URLs","0","0.00%","181","Internal HTML pages with 2xx response"
"Non-Indexable","0","0.00%","181","Internal HTML pages with 2xx response"
"Multiple Pagination URLs","0","0.00%","181","Internal HTML pages with 2xx response"
"Pagination Loop","0","0.00%","181","Internal HTML pages with 2xx response"
"Sequence Error","0","0.00%","181","Internal HTML pages with 2xx response"
""
"Directives"
"All","193","100.00%","193","Internal URLs with 2xx response"
"Index","178","92.23%","193","Internal URLs with 2xx response"
"Noindex","3","1.55%","193","Internal URLs with 2xx response"
"Follow","181","93.78%","193","Internal URLs with 2xx response"
"Nofollow","0","0.00%","193","Internal URLs with 2xx response"
"None","0","0.00%","193","Internal URLs with 2xx response"
"NoArchive","0","0.00%","193","Internal URLs with 2xx response"
"NoSnippet","0","0.00%","193","Internal URLs with 2xx response"
"Max-Snippet","181","93.78%","193","Internal URLs with 2xx response"
"Max-Image-Preview","181","93.78%","193","Internal URLs with 2xx response"
"Max-Video-Preview","181","93.78%","193","Internal URLs with 2xx response"
"NoODP","0","0.00%","193","Internal URLs with 2xx response"
"NoYDIR","0","0.00%","193","Internal URLs with 2xx response"
"NoImageIndex","0","0.00%","193","Internal URLs with 2xx response"
"NoTranslate","0","0.00%","193","Internal URLs with 2xx response"
"Unavailable_After","0","0.00%","193","Internal URLs with 2xx response"
"Refresh","0","0.00%","191","Internal HTML pages with 2xx response"
